EncryptedText,Shift
"ZAnZB,RSfRT,18",5
"qYsPYoxjIrCF,fNhENdmyXgRU,15",5
"uCOOcJDfZell, yGSSgNHjDipp,4",1
"KsSmJIPsgmzHvq,FnNhEDKnbhuCql,21",7
"QobeEFxsCbqDIX,BzmpPQidNmbOTI,11",13
"rVXVyoBaaTL,qUWUxnA",17
"KbyYqUprfIieWHWia,MdaAs",24
"zKunHfLaIlbrMl,dOyrLjPeMpfvQp,4",24
"ZQUqQhL,JAEaArV,10",9
"vtr aTrQqmJybRq,nlj sLjIieBqtJi,18",25
"coWhwpPqVmyEi,zlTetmMnSjvBf,23",21
"hmTosSArrerzovNlX,sxEzdDLccp",24
"IwwkW,FtthT,23",9
"JxZJDH,OcEOIM,5",20
"RAkgAJTfWtRkng,BKuqKTDpGdBuxq,10",14
"vrnob,njfgt,18",14
"RePYVZTtG,ObMVSWQqD,23",20
OqaVqhKF zz,8
"KAemL,BRvdC,17",4
"yTXDbzhXsugayGdwo,iDHNljrHceqkiQngy,10",22
"tBIVjfWrR,xFMZnjAvV,4",5
"iIdMMMXQIoSyg, cCxGGGRKCiMsa,2",3
"RXoxAGaMmtq,GMdmPVpBb",19
"wAenZOvyXzGl,fJnwIXehGiPu,9",14
AvXPNdaGetdY,19
"KcGcJeAsg FmmeWHmWiY,TlPlSnJbp Ovvn",18
"ofzUste,lcwRpqb,23",21
"KhLGUpWHw,TqUPDyFQf,9",22
"rWGOOHRmwR,cHRZZSCxhC,11",5
"WEXErpTXDoBeqwLKJqHl,CKDKxvZDJuHkwcRQPwNr,",11
nzcmjknRRs,12
"rDsASFKktVbsIM,",3
"EOtf XiCwcfjuRZL,F",18
"vkrGyy,ncjYqq,18",23
"xgZoKeszbuieIItde,udWlHbpwyrfbFFqab,23",15
pVOKccIRLRzVdNX,1
HkIt oMDG pxi,9
"zqZzkrRjAG,xoXxipPhYE,24",14
"uahlUxDbUKH,jpw",8
"QbzMHt,WhfSNz,6",2
"XMkpyNP,ZOmraPR,2",22
"oMOTvYZVbjcBssVTP,bZBGiLMIowpOffIGC,13",17
"KhuGYKrqtowYT,QnaMEQxwzu",14
"AWAcxNiJaIF,LHLniYtUlTQ,11",13
QsuUEZgIlM ,19
"WcsfwIzlxMEMJ,UaqduGxjvKCKH,24",14
"mhtcXHyEDIOX,s",10
"aUrjLEsO,dXumOHvR,3",20
"dvajDdeCorx,vnsbVvwUg",22
"YuPmNKUkFIDbtd,GcXuVSCsNQLjbl,",23
"ZmMXZLquOJLrp,JwWHJVaeYTVbz,10",25
"kCTpWtkebQjeqXeGDmHB,iARnUriczOhcoVcEBkFZ,24",13
"TEmpTptEvR, W",4
dczGECBTKsuqHzvD,6
"ohyHsvWpOr,uneNybCvUx,6",23
"lriFIwvR,yevSVjiE,13",25
"uXR wZyiFPDgPXvkaP,mPJ oRqaXHVyHPncsH,18",15
"ZfRRwHUQk,WcOOtERNh,23",9
"BhzbIXpSfafWvyO,PvnpWLdGtotKjmC,1",13
nEuVTcdmOrax,25
"yrZGyLUt,ngOVnAJi,15",16
"wgzcU ,scvyQ ,22",5
"LlkkTiL,CcbbKzC,17",10
"QGIDAgrKJYs,",3
"ijFvZGkLLLbLuONuyS,stPfJQuVVV",20
"HbifQ,AubyJ,19",3
"dfjQyfScrL aPZWU,qswDlsFpeY nCMJH,13",18
"FTz qCLOACwfcvWs,XLr iUDGSUox",16
"NxiGTOq,XhsQDYa,10",7
"xnq RhaNPzx,aqt UkdQSca,3",5
"nXplsFYjAKKxHTtM,tDvr",19
"EhQwg,LoXdn,7",3
"CTH wbNejHMOfpSVFXB,MDR",14
"DNzRAcUqOOLlhNB,BL",17
"pEGBFVrIu,xMOJN",17
dRWmkDyfOdWm,16
"mUkImclZVilEZKQf,qYoMqgpDZmpIDO",15
"uKUqbWxh,bRBxiDeo,7",2
"UFlEqeCVLhPNPjISZ,DOuNznLEUqYWYsRBI",21
"QUKLoM,EIYZcA,14",9
"JiKKimGvnQYqPj,QpRRptNcuXFxWq,7",1
"tKRQju,eVCBuf,11",24
"JqkzPMr,QxrgWTy,7",20
"mxzDHQiFYGlnh,ozbFJSkHAInpj,2",6
"VAloGWpHjjrajsK,QVgjBRkCeemvenF,21",8
"rVHkGJNAaYYpPOqF,vZLoKNREeC",4
"QcHpm,IuZhe,18",7
"PEIfRFKoL,MBFcOCHlI,23",22
"UVgHw ,HItUj ,13",23
"yVuyrEJvNLOyJtbxm,cZycvINzRPScNxfbq,4",8
yHXXHbMNbX,1
"mYGZspZPZ,bNVOheOEO,15",9
ZJxACaEyPpFEVp,8
"ApMsgkgqrVUrVyt,KzWcquqabFEbFid,10",24
"TpPrxIBQl C,QmMouFYNi Z,23",1
"HSsAfyLoxSCjRL,ZKkSxqDgpKUbJD,18",23
"jsUDNbtkXnvkMv,hqSBLzr",23
"HUMFMdbaBYaiVsUOeK,ZMEXEvtsTQsaNkMGw",12
"jrr zpK,iqq yoJ,25",17
"NcIQDkyTXFV,OdJRElzUYGW,1",22
"ufGEHfzTMt,hsTRUsmGZg",11
"jauALgf,wnhNYts,13",16
"ezOggHIUwHc,zuJbbCDPrCx,21",2
"osMCRYUmMpmo,rvPFUBXpP",20
"n Zw, u Gd,7",10
"hSOhtA,fQMfrY,24",14
"QEyihjhVRUcZiwNNQe,FTnxwywKGJ",6
"LSsYtzyHWStgtEHuM,QXxDyedMBXylyJMzR,5",16
"dQfiD,cPehC,25",12
"mGJpgYixAyxlpUI,kEHneW",18
"PCxvJKGvnDU,GTo",6
"E zhyQB,C xfwOZ,",2
"HekwFfaMGJfaDxJTaPUi,RougPpkWQTpkNhTDkZEs",14
"PdUHUFMQF,BpGTGRYCR,12",4
"KEMwlnc,JDLvkmb,25",24
"fSdgSFyDxyO,sF",21
"HmqkXlOQIPhbzIIeCeYj,WbfzMaDFXEwqoXXtRtNy,15",20
"ENTkqEyx,GPVmsGaz,2",3
"QKoFNFHpEqVoXwMFkVeS,WQuLTLNvKwB",9
"ZF RuVkA,SY KnOdT,19",14
"cwZKEQDpPZROY,y",2
"vMubfghimITGzHCYOO,eVdkopqrvRCPiQLHXX,9",16
"lPzdnabwYrUMPUHD,pTdhrefaCvYQ",23
"sGz uJX,uIb wLZ,2",20
"aLJBgBlKjIRfPPmk,fQOGlGq",25
RGaZmTPduhZUAit,12
"FJucarBvcjdRQwuvvlCB,K",16
"nQRyrBdFMQT,aDEleOqSZDG,13",13
"XAMgGlWF,VYKeEjUD,2",3
x reLjvUlPUpu,4
"rZZDbfRgPeCUesTsmggl,zHH",4
"kgSbrS ,soAjzA ,8",10
"ViYHccvGU,NaQZuunYM,18",10
"WXNnirLWNyhkPm, ",9
"jjpyDPVCNF,ggmvAMSZKC,23",19
"dwOfjNDuqopGpT,atLcgKArnlmDmQ,23",2
"GoCCiPY,Lt",19
"AfHze,InPhm,8",7
"veIvSVJ,clPcZCQ,7",15
"XkZqaswwHbceDZNFva,ObQhrjnn",3
"T akFN,S zjEM,25",23
"RCKiAOqleGzPQETlJKm,F",16
"SkAt DtTwfTvYyQ,JbRk ",2
"SGIVkRSQVOFYXWIESyBG,DRTGvCDBGZQJIHTPDjMR,11",15
"wsLkptMaHo,t",21
"KzcUKaFtHkXtzepoUV,Rgj",23
"GVtHwefS fF,ODbPemnA nN,8",1
"BprlQUyzolflY,",19
PNcEixzORd,22
"JUVMQPPQBljUu,WHIZDCCDOywHh,13",24
"bgbOGejFi,chcPHfkGj,1",17
"vzFpkJouKPOk,txDniH",3
"nlFGw,hfZAq,20",19
"ExlvHGSTqC OcYIB,BuisEDP",24
"HcVlytpY,YtMcpkgP,17",14
"Rlyrtj,Eylegw,13",10
qMvcgb eUE,17
"HFYFQOTtzkiC,GEXEPNSsyjh",19
"KTAsmDc,CLSk",2
"eoeQMbysKk,qaqCYnk",6
zPterWuzKyxy,15
"smfbOiXlOFctX,tngcPjYmPGduY,1",3
"aMeCbDM,yKcAzBK,24",7
"lscXZbcy,krbWYabx,25",7
"eeufYDJsdNbRVtcaY,",25
"FFpTg,OOyCp",4
"OWQOmLTlUKfwtGcfs,PXRPnMUmVLgxuHdgt,1",11
"zRKARWdetvXcIOGqnj,oGZPGLstikMrXDVfcy,",17
"AhNpBMNvtzAopSYXrD,TaGiUFGomsThiLRQkW,1",17
"oxaUfKzYZMJVHNFgBo,radXiNcBC",1
UabpQjCoqMjs,25
"rWXWfxc,oTUTcuz,23",17
"beArCTtVtnlnfxH,uxTkVMmOmgegyq",12
"KVyzZGAf,NYbcCJDi,",7
"y IUFQDKDbBuivmgI,n XJUFSZSqQjxkbvX,15",7
"fbLwragJXCyCgqkZgI,lhRcxgmPDIeImw",15
"A jFGa zirVGOgIDo,K tPQk jsbFQYqSNy,10",2
"OVjlCpQxkGtgSbADGXV,WDrtKxYfsOboAj",15
"mlTcGxveZTJCqFfjHjQA,nmUd",10
"Q G RAEEKiviZFwgd,W ",15
"xaKwhAzNdCrjpzTp,ilVhsLkYoNcuakEa,11",14
"YjwLcAhcHMNvos,WhuJaYfaFKLtmq,24",6
"PvDVFmJTlFZGt,FlTLVcZJbVPWj",6
"cNQMGLBPMTLqtoe,yJMICHXLIPHmpka,22",8
"rlarBu,icriSl,17",9
"BQlUjVidLPvSddnvp,HWrApBojRVbYjjt",2
"CgDKoCMKZBXYuhmYyjj,YcZGkY",9
"hiEWttUlxsuKeC,noKCzzArdyaQkI,",1
"zmxVBNyTxvPOFkBjAi,bozXDPaVzxRQHmDlCk,2",7
"tDtSH,kUkJY,17",18
giErljGCawchTkcCTnuX,24
"KbPFXCDwH,QhVLDIJcN,6",16
"NjVLTIJ,HdPFNCD,20",11
"EqIPUXazEwZYvmC,WiAHMPsrWoRQneU,18",12
"ADFtQnIOeSJDWzWMQc,NQSgDaVBrFWQJmJ",22
"zjXNOCQ,pzNDESG,16",11
"BzYbzKZ ,KiHkiTI ,9",16
"jTPfBhE,dN",17
"Oni yfPMfRvNeGsMza,Mlg wdNKdPtLcEqKxy,24",11
"BKuvQFGU,ZIstODES,24",6
"bzBzAvdbbPVb,vtVtUpxvvJPv,20",4
"xFMEKuypyWt,lTASYimdmKh,",17
"UFhxP,TEgwO,25",14
"rOrdTAeQURE,aXamCJnZDAN,9",25
GJHRXqmUluPkebRadqi,13
"MMefEuPAxMqXvK, FFxyXnITq",8
"dIqISPxkk,qVdVFCkxx",8
"NEU FgnkvOf,EVL Wxeb",9
"jq gM,ip fL,25",13
"ia cV,vn pI,13",16
"PAGTf,ITZMy,19",8
"WVuZIeDhQON H tLl,NMlQZv",8
"VgzYlrl ofv,Doh",4
"fOIaKKqPxXfiaMgd,bKEwGGmLtTbewIcz,22",25
"CdsedOPnUKgLaZuLcm,JkzlkVWuBRnShGbSjt,7",15
"o RPxhH,d GEmwW,15",2
"NIzRQngODvrFoZ,M",24
"ROZIZV,DALULH,1",24
"EmOafIXvJ,SaCotWLjX,1",21
"UBkgwVqmRAEQEvKj,OVeaqPkgLUYK",2
"WkfXtfVLkVt,JxsKgsIYxIg,13",10
"smCcefssvUB,gaQ",7
"KAxLYumyJzbqaGNg,TJgUHdvhSikz",7
"MGawsWnHdyMN ,KEyuqUlFbwK",3
oTUCBtmRNgmi,3
"oSxrKCenXq,fJoiBTveOh,17",10
ZcMQsaRzxUAD,12
"NVBJMefISylovmaDp,LT",14
"yytHuWIcuOPlEvujzP,eezNaCOiaUVrKbapfV,6",3
"TLqTaeZ,CUzCjnI,9",8
"JqWPFjiaD,OvBUKonfI,5",11
"HIziVmx DIOKlHKq,EFwfSju AFLHiEHn,23",20
"SHdPDQj,IXtFTGz,16",9
"jMDBJuyDnUEifawm,dGXVDosXhOYczuqg,2",1
jwfniXMiKHbD,20
"UvgMBUiCTHXdiLsq,WxiODWkEVJZfkNus,2",25
"AssPjVoxNYRfCTyFeah,FxxUoAtcSDWkHYdKjfm,5",24
"cQxXCNztiPGt,fTaAFQcwlSJ",7
"JynmFCXKzuT,ZodcVSNApkJ,16",7
"BgjfFQBLcppeLvcWGp,PuxtTEPZ",13
"EnechZ rZ,GpgejB tB,2",22
"MBdmXvoWW,ZO",17
"yESfEVUH,lRFsRIHU,13",10
"aXCCpTlcqvQoZecf,lIN",9
"yxVTLAeEZy,lkIGYNrRMl,13",3
"QtVzjTXNRV,N",19
"sKXZRyxBSjoH,pHUWOvu",24
"dtpWMLebeSIRWq,hxtAQPifiWMVAu,4",4
"pHXhgA,eWMwvP,15",17
"CgjdNxGe X YFUFlW,EilfPzI",12
"IBZsh,GZXqf,24",4
"Vbqka,Gmbvl,11",17
"UPSnJtEOUsAU,LGJeAkVFLjRL",11
"LWHKAEPllVuoANhJdx,WHSVLPAwwG",14
rPmjCegeAHEFB,8
"lsCGjfRLcgnU ONQ,ipZDgcOIzdkR LKN,",23
"MGStthGVc,SMYzznMBi,6",24
acdFIeHSQLsL,9
"BtkHVegFoQ,UmdAOxzYhJ,19",23
"XMB rySIeLTgVmDIv,HWL biCSoVDq",25
"PnKckiL ,HfCucaD ,18",22
"ADKtRqvmhhlhrBQN,GJQzXwbsnnrn",10
"ZLEVX,JVOFH,10",13
"gGRFEvpA,cCNBArlW,",16
"I LWZy,K NYBa,2",5
"PDlTFMBlKigurkdsB,",24
"ptMbiTCxo iTZmWmlj,swPelWFar lWCpZpom,",6
"khIhOqiK,gdEdKmeG,22",8
PVzijifgIlttwcn,19
"vNJdAYUoZgrcoUDKxFRu,oG",8
"VigpPFkoYgQUIbUmG,DqoxXN",18
"pKsqQjXarnLqH,bWecCvJmdzXcT,12",12
"UDItv,CLQbd,8",13
"YHJfBqsiqcqM,XGIeAprhpbp",15
"ZNdfDq IMZm ntBCbB,BPfhFs KOB",13
"gnxASaTWyjh,mtdGYgZC",25
"jLnyvfPZuWqs,tVxifpZJeGac,10",19
"IphdxOLgaFxiD,DkcysJGbvAsdY,21",22
"pSgWJCBEgBwEr,hKyOBUTWyToWj,18",23
"gsWhK,ykOzC,18",24
"BvMnGDQpfVFHCG,",13
"hPZQUOWsW,xFPG",10
"SjtWtXwKHS,ArbEbFeSPA,8",23
"FmSyzRiKepzdIcGlV,SzFlmEvXrcmqVpTyI,13",13
"hxrvPXHSF,xnhlFNXIV,16",17
"WRdtijNpmwuVVwXUFf,JEqgvwAczjhIIjKHS",23
"ftQjkkQakfizI,sgDwxxDnxsvmV,13",15
"uUvWnwasiD,rRsTktxpfA,23",5
"JQGHjfvDEg,NUKLnjzHIk,4",15
"EAwgwabltZKuZf,OKgqgklvdJUeJp,10",23
"dYNfcOl,tODvsEb,16",6
FPPPrqPrnCYSVuiEv,21
"XZnLPeTPR,NPdBFuJFH,16",25
"vIPX ZPHmhfHFIHLT,dQXF HXPupnPNQPTB,8",15
"JoeEVMPCDTsCV,AfvVMDGTUKjTM,17",17
"ufyOXuSDpIfJVjUahDVr,xibRAxVGsLiMYmXdkGY",23
"Kaybh,Ukilr,10",16
"OLvYtseRcpUzHS,WTdGbamZkxChPA,8",24
"fflYDeVxY J,cciVAbSuV G,23",17
"uWzxvcKn pwXcaV,iKnljqYb dkLqo",9
"IHNolTQnx,AZFgd",1
"QEiouPzFgcLQldekCI,UImsyTdJkgP",9
"AkNbjkfYlzNhr,GqThpqlErfTnx,6",8
"GZhFIjFXXSOgxmUEx,",12
"lZAOxjbTl nu,nBCQzldVn pw,2",24
"fgWNlGh JwfAQI, bcSJhCd FsbWME,22",7
"BPecfesIPuINzXmEy,LZompocSZeSXjHwOi,10",9
"qfuqzIhAFCbDdg,bqfbkTsLQNm",18
"EOIhtdBSsC,KUOnzjHYyI,6",21
"jOSvVsWoLu,rWAdDaEwTc,8",12
wUdLRWKpWZYIJ,18
"OdWDyGFrz,IxQXsAZlt",19
"yqZsmLE,asBuoNG,2",4
"ovBMXLcfODwYdYO,krXIT",15
nbzGGRo BX,11
"yyZMylfoaZI,rrSFreyhtSB,19",14
"oOZhntxepAduCxO,vVGouaelwHkb",22
"ZAGKkObKyFUyw,NOUYyCpYmTImk,14",9
"kAqvnEw,yOejbS",6
"OTmpgyQnedlnlbxNygv ,ZExarjBypowywmiYjrg",8
"ypnhtECjUSABGCptOk,lcaugRPwHF",5
"GdfM EYuapfdVgBvIeZ, WtvC",15
"LroitqisvkYURJCaNu,TzwqbyqadsGCZ",25
"SKrLVyqQdIY,GYfZJmeErWM,14",11
"ZIZAtRMMATFphgiZ,O",3
"Ftqd, Aoly,21",6
"gYky SofOLdDY UdcCd,wOao IevE",24
"lHUmltslyiNZY,zVIaz",21
"VJjw FBT fC ,UIiv EAS eB ,25",24
IvNacaIeIhJhzQlU,1
"mQCQqNeOaDo MGecb,u",7
"xSwHHtbil,oJnYYkszc,17",18
KVrYpkHkobwm,4
"AuzNpOdQWprLQyY,TnsGiHwJPikEJrR,19",25
"SeEZODkMFKfSNYQ,",2
"QdPCc,UhTGg,4",2
"bKKTipZfhKc,wFFOdkUacFx,21",18
"NDVyGLQustnps,GWOrZEJnlmgil,19",24
"WsRmKo,TpOjHl,23",11
"gFprotn,rQa",13
"EBkhswRWDMoogtcjcF,NKtqbfAFMVxxpclslO,9",3
"CAjEGE,IGpKMK,6",4
"NYgjNjnYpL, QBj",24
"AUNJpfUZbtycKebL,LFYUaqFKmejnVpmW,11",4
"JkwyqxCHGvaEzN, XykmelQVUjoSnB,14",6
kFQpHaidqGaVUPb,13
"ihIsACuL,onOyGIaR,6",11
"XHzIfjmpBo,OYq",6
"TCOV ScRaG,UDPW T",5
"AVkYxBJr,HCrFeIQy,7",21
"TlJzRjW IDTLLMsraR,MeCsKcP BWMEEFlktK,19",24
"LxoeO,FriyI,20",19
LUVSuoVjGhaUVyncah,7
"bYgyIZfVj,jGogQHnDr,",5
"qAbvGkCkGeaOGOeaNo,oYztEiAiEcyMEMcyLm,24",19
buTcfpaUuDjrW,19
"bGkuQUx,uZdnJNq,19",12
"LmEhTINHNYjO J,AbTwIXCWCN",11
"amyXkOLq,zlxWjNKp,25",24
"SgZWIdTgdgkPvh,CqJGSnDqnquZfr,1",3
"uhrwxdqrXAkhxyLULVC,wjtyzfs",13
"kvnOrZyqzPYTUKQvBHCS,ozrSvDcudTCXYOUzFLGW",22
"AUMUkhh,FZRZpmm,5",16
"NnhiYvk,MmghXuj,25",23
"Hn ZebUySePNBxGYx ,Gm YdaTxRdOMAwFXw ,25",22
"P CO ,A NZ ,11",1
"zkwnJVZ,hsevRDH,8",18
"opsQTUoUOozrEAG,mnqORSmSMmxpCYE",12
"ashgjRYRUmTexED,cujilTATWoVgzGF,2",11
"FQgLwpsGk,DOeJunqEi,24",2
"xuz PfgffjSrmQP,byd TjkjjnWvqUT,4",13
"katQeacqMfpMvsU,jzsP",19
"TJfPur h,HXtDif v,14",19
"SBmxhdFZhb,JSdoyuWQys,17",21
"HGPmixrPWVbyoeJo,ONWtpeyWDCifvlQv,7",2
"wSktMUNfJe,eAsbUCVnR",11
"fReiwEiv,mYlpdLpc,7",14
"FISHYnyHHU,VYIXOdoXXK,16",14
"FzRhuBgBNmtYtOQ,AuMcpW",13
"CiKouA,IoQuaG,6",23
"MbSQk,VkBZt,9",24
"oWigd,jRdby,2",13
"BczzWfxaWrgSEQ,StqqNworN",15
"IREzNUFiUN, PYLgUBMpBU,7",14
"rHyzOaUDS pjYJHau,pFwxMySBQ nhWHFys,2",16
AnfayJGUTLWsV,17
"mVNbyouxOoYPFzLW,sBTheuadUu",14
"BNoIHggVmlQa ujOMGBb,WIjDCbbQhgLv peJHBWw,21",1
"jkzxVpMGOO gCZOG,cdsqOiFZHH zVSHZ,19",1
"pCcLE,kXxGZ,21",1
CyvXaZFlxzcqHTtDvfej,7
"jPanutuF,sYj",21
"ypQaMYj,ulMwIUf,22",24
"LxwxyMnZZil,OazabPqCClo,3",6
"siyflk,oeubh",15
"TCooGvZrcY,LUggYnRjuQ,18",16
"kciX w,tlrG f,9",16
"QeVoFiaAxKu,ZnExOrjJgTd,9",19
"NMGRjJKFr,TSMXpPQLx,6",19
"UFBivKBsLCcDbjMIgNDy,WHDkxMDuNEe",21
"mXKDpgY,xIVOarJ",11
"kgeZrynHQxqrZwUYki,xtrMelaUDkdeMjHLxv,13",12
"reUMbqjkFJIsmcJS,jwMEti",1
"fBNtCcnhu t,l",5
"dDyLAhkn,jJeRGnqt,6",16
"mSyRY HMTWFNlBGJ,rXdWD MRYBKSqGLO,5",19
"f YrILmSwsXKCL,b UnEH",4
"njBESaVVuvg,soGJXfAAzal,5",23
"oTjdmjtOuYPPN IHPd,vAq",21
"IeHSstDhCoGsYs,RnQBbc",2
"NFb DtVfD sQ,QIe GwYiG vT,3",13
"HTDvU,MYIaZ,5",4
"bMLFkvrZQMkmcT,uFEYdokS",3
"rne pwBZjCvKNiobcijF,nja lsXVfYrGJekxyefB",16
OTUlyiiBYuLQJHO,19
"cXaxpToIpziPqm,iDgdvZuOvfoVws,6",25
"RTxwCHQEUCpkLaaNXVft,YAedJOXLBJwrShhUECma,7",7
"MlJRw CFoOhnhrKEKX,VuSAf LOxXqwqaTNTG,9",13
"UlYIfoyAOI,TkXHenxZNH,",17
"VwOrNZR,KlDgCO",13
"YTjaJdyABClCeyXefxw,MHxoXrmOPQzQsmLstlk,14",16
"mGjzlzpd,qKndpdth,4",12
"BkCvhSya,HqIbnYeg,6",16
"trPWUqqlTwc,bzXECyytBek,8",14
"PPWUbAyB,SSZXeDbE,3",19
"UUOCkI,WWQEmK,2",4
"td sqhVBEn,bl aypDJMv,8",24
"VPdgOAMQiZtxHVCeEagd,XRfiQCOSk",2
"bVfguZjaa icefI,cWghvAkbb jdfgJ,1",15
"RdwbdxGvgpzZEjonbztZ,Dpinpj",21
"BGDhpPmFlNL,AFCgoOlEkMK,25",25
"eiYDcU jGauJlNTlMj,osINmE tQkeTvXDvWt,10",17
"MLgvtwhq,XWrgehsb,11",16
"ZXfSFEHwLkkVPVc i,WUcPCBEtIhhSMSz",11
"lOfsaaaswxsNprlKwkj,hKbowwwosto",4
"scy NdxxEQHjSBhw,vfb QgaaHTKmVEkz,3",1
"yMUjDRYjxLq,lZHwQELwkYd,13",3
"lDJQvyFeOufGR,aSY",13
"eIDwYLqdKBwoGISU,uYTm",22
"YEuQs,IOeAc,10",18
wuQIWCZZaHo,23
"RAzUG BCW,WFeZL GHB",21
"mYFoGN IvxP,xJQzRY TgiA,11",19
"gxI atjYi,kbM exnCm,4",9
"MASaYRjLkokYH,ZN",5
"ICVgBaukwjkROKWXLA,SMFqLkeugtuBYUGHVK,10",13
"OfmZhNoYK,",12
"qevOWbqGkBxeiKJL A,xlcVDixNr",4
"PzjxFFppu,NxhvDDnns,24",17
XiVfOIFuaNFMFvz,12
"yqHmrLnTDjn,asJotNpVFlp,2",14
"peLTIHyRZqUrAIDV ,wlSAPOfYGxByHPKC ,7",22
"zNJKqcwQXs,uIEFlxrLSn,",23
"OCIdKkDlLZW,YMSnUuNvVJG,10",2
"hQKWMxSRWqEI,kTNZPaVUZtHL,3",25
"LrEu gHZSKvAd,JpCs eFXQItYb,24",17
"aOkp bJnOtPEvBcbLcw,gUqv h",10
"dfNZsW,prZLeI,12",14
"hxjUB,brdOV,20",14
XNkzrBGNom,14
"kvqdZWhnjJdxCd,rcxkGDouqQkeJk,7",11
"cORwLOOTV,mYBgVYYDF,10",12
"susq lWwOnbDdn,qsqo jUuMlzBbl,24",22
aOzvw cVSgcbEMTB,6
"GkZdyl,TxMqly,13",15
"EYDBNyrAJcUckcQeBJBm,AUZXJunWFyQygyMaX",23
"iHzPTGw oUyGOa,rQiYCPf x",3
"lUI GnLXFpHNcPXwdoj,aJX VcAMU",4
"XaVcfGvXMQUkDyGMUqI,NqLsvWlNCGK",22
"nCR bmaFWwqPanFZ,bQF paoTKkeDo",12
"UUi IVlEVYM,XX",15
"xaG BpUJ ljk ,cfL GuZO qop ,5",14
"htjvpKRydcqIXUM,eqgsmHOvaznFURJ,",24
"dwnHw,rkbVk,14",19
"knglwnZRvFqCAN,runsduGYcMxJHU,7",25
"oCGzcAljRi,fTXqtRcaIz,17",8
"l wS sbDTpPx,b mI irTJfFn,16",2
"VRMjxrYivgZCnibzKgQH,WSNkysZjwhA",9
"SToXaqjUASLLsXgH bs,FGb",8
"KFZhdBgbx,RMGokInie,7",22
"nFZezoF, qIChcrI,3",8
"rdHMizsASQiLVjfAc,nzDIevoWOMeHRfbWy,22",1
"vsevQIOGPhQE,heqhCUASBtCQ,12",7
"SCYCdD cZGuXCFkKrEIs,AKGKlL kHOc",24
"OXlvmcLjqCdj nfi,LUisjzIgnZag kcf,23",23
"XydlwE,KlqyjR,13",17
"sTBmM,yZHsS,6",3
"olcLpFqZ,czqZdTeN,14",20
"UBsHbG,AHyNhM,6",17
"ZOxoy,DSbsc,4",25
JsiZhzGTMxoevF,14
"QAiqPUtKB,JTbjINmDU,19",25
"ozboJtQ,whjwRbY",14
"xcxcyJGSszVQvti,fkfkgROAa",3
ommABmtQlz wVM,13
"MyUiHgaEnplr,IuQe",19
"q rpaHdqtdw,b calSobeoh,11",2
pKSPNcajcyT h,18
BmdVYEmWgt,5
"aQMraSpPiijMX ,fVRw",19
inBlLTljUqYq,14
"HnZLBCgvHttg,KqCOEFjyKwwj,3",22
UKpdOATfFMNgl,12
"uyaZWLk yFVqk,rvxWTIh vCSnh,23",12
IbIpKAWKPr,12
"CmrUhqsNNJGS,VfkNajlGGCZL",24
"vGomIH,nYgeAZ,18",18
"Aj tA,Yh rY,24",14
"qoofo wDKYjglJASxBau,geeve mT",12
UDrkVBBdCEdMc,18
"CBAaDy,KJIiLg,8",25
"PbkgfJ,IudzyC,19",8
"NfsCfecYVHs,QivF",20
"bkwsJaXUlxAkJzQAXad,sbnjArOLcoRbAqHR",22
"YoAsNOgAn,McOgBCuOb,14",10
"kiLBlklRe,ecFVfefLy,20",1
"m uHpdEgCbC,d lYgu",21
"fkwJvKNBbGxuZTwNAtsb,tykXj",25
"CWTfEItiW, JDAmLPapD,",5
hOLsMXSKvHnBOKjpzh,3
"bBsYDxBhyaJE,oOfLQkOulnWR,13",4
"rqoxTycyUzehdB,lkirNswsOty",2
"qwHvnIkvvQRq,uaLzrMozzUVu,4",20
"FaPdXNAbrp,VqFtNDQrhf,16",16
"ahvXbem,wdrTxai,22",15
"LHZksxLNC zGU,IEWhpuIKZ wDR,",10
"HtkLLuePNbihMx,",8
"oHNLNpOYajkId,hAGEGiH",15
"OjLMof, KfHIkb,22",22
"jcaYmwxfyD lOsfd,hayWkuvdwB jMqdb,2",15
"nyxJUagcjMrVIT SfCg,xihTEkqmtWbFSD CpMq,1",2
"xAaXpXymEBaJWbyBSyNL,eHhEwEftLIhQDifIZfUS,7",22
"cQKAMosHXO,nBVLXzdSIZ,11",24
"NenTBrVx,KbkQYoSu,23",11
EHXpxmwGORTcP,13
"tfwcBmJAQnGGL,amdjItQHXuNNS,",19
"irVRCisjxteNAkdth,ktXTEkulzvgPCmfvj,2",7
"VvplDFslFe,LlfbTVibVu,16",12
"VIYeGn ,UHXdFm ,",9
"uYbWRwIJpsO,dHkFAfRSybX,9",22
"AaFEkWRNNjvkTUroM,WwBAgSNJ",2
"EKpOskCikXxkrcGAXQY,RXcBfxPvxKkxepTNKDL,13",9
"arLjCpgEpiLxyhSzNo,kbVtMzqOzsVhir",1
"avyVtYAMTmsv,zuxUsXZ",1
"uAbthHqlZoT,dJkcqQzuIxC,9",14
"jAyajRmFpobNRAzbp,mDbdmUpIsreQUDces,3",12
"XbBlqdNTeAlXxcMo,PtTdivFLwSdPpuEg,18",24
"VZuT tC,EIdC cL,9",22
"nrPBpzjrc vHlliXN,eiGSgqa",22
"ylVRYOGhLv QLksCgjGO,fsCYFVNoSc XSrzJnqNV,7",1
"XXCWgktbvcqh n,RRWQaen",7
